GSM3272790	GSM3272781	GSM3272782	GSM3272789	GSM3272787	GSM3272779	GSM3272788	GSM3272780	geneIDs
0	0	0	0	0	0	2	0	ENSMUSG00000102693
45	4	2	43	15	8	23	2	ENSMUSG00000051951
1557	46	26	3694	723	33	571	10	ENSMUSG00000025900
2398	415	504	5638	2509	326	924	242	ENSMUSG00000025902
2615	2308	2275	4692	1620	818	996	684	ENSMUSG00000033845
7453	14447	13843	15403	4200	6979	2546	4549	ENSMUSG00000025903
4528	1995	2273	8969	2532	1119	1501	857	ENSMUSG00000033813
54	7	2	135	31	1	24	1	ENSMUSG00000002459
7540	10583	9600	14223	4206	4244	2565	2914	ENSMUSG00000033793
12	0	0	149	22	2	16	0	ENSMUSG00000033774
9678	3486	4356	28393	7712	2112	3289	1736	ENSMUSG00000025907
145	133	160	649	172	204	51	108	ENSMUSG00000090031
101	0	0	317	94	0	18	0	ENSMUSG00000087247
9	0	0	8	0	0	1	0	ENSMUSG00000033740
8196	3546	4638	19440	4860	2595	2939	1614	ENSMUSG00000051285
0	0	0	0	0	0	0	0	ENSMUSG00000103903
19	10	25	17	6	14	4	12	ENSMUSG00000025909
2468	1486	4089	6636	2009	757	896	1566	ENSMUSG00000061024
2006	13060	12745	1581	461	5731	663	3448	ENSMUSG00000025911
154	42	38	196	74	45	53	13	ENSMUSG00000079671
8	6	8	18	0	4	4	0	ENSMUSG00000067879
455	61	133	789	211	90	173	66	ENSMUSG00000025912
5145	2170	4585	13966	4144	1009	1723	1902	ENSMUSG00000045210
17	61	81	22	3	27	2	25	ENSMUSG00000097893
2558	1243	837	3552	986	914	893	443	ENSMUSG00000025915
15	2	21	51	6	4	6	17	ENSMUSG00000046101
424	160	382	1549	435	166	146	194	ENSMUSG00000098234
210	814	845	419	136	383	56	221	ENSMUSG00000099032
2	9	3	11	0	8	2	3	ENSMUSG00000104025
147	10	9	700	112	7	46	1	ENSMUSG00000025916
4566	3373	5025	11967	3623	1635	1639	1498	ENSMUSG00000025917
2422	1356	985	6143	1489	1021	749	519	ENSMUSG00000056763
0	2	0	0	0	0	0	0	ENSMUSG00000102356
12825	12916	8895	26472	7037	4997	4526	2936	ENSMUSG00000067851
0	0	0	6	2	0	2	0	ENSMUSG00000042501
13004	856	834	22924	6330	560	4457	226	ENSMUSG00000048960
520	4	2	977	236	0	194	2	ENSMUSG00000057715
6826	509	420	7767	2782	104	2317	82	ENSMUSG00000016918
147	6	0	140	80	2	52	2	ENSMUSG00000025938
2	0	0	1	4	2	0	0	ENSMUSG00000042414
5335	4538	1356	5714	1575	1609	1989	419	ENSMUSG00000005886
17426	8182	7320	33710	9794	2816	5952	1968	ENSMUSG00000025935
5140	31310	35014	10258	2933	16383	1800	10981	ENSMUSG00000025937
4	11	28	4	2	10	0	18	ENSMUSG00000067813
500	8	8	859	221	8	163	2	ENSMUSG00000025932
195	2	4	272	106	0	65	1	ENSMUSG00000025930
0	0	0	4	1	0	0	0	ENSMUSG00000081201
22	4	13	47	6	2	8	5	ENSMUSG00000082193
2	2	2	0	0	2	0	2	ENSMUSG00000032769
26	8	4	26	10	0	12	0	ENSMUSG00000092083
1190	372	219	2258	639	207	380	120	ENSMUSG00000025925
22	93	103	98	27	31	14	31	ENSMUSG00000032719
137	6	2	603	126	4	39	0	ENSMUSG00000067795
49180	24016	30056	114504	33842	8631	17410	8966	ENSMUSG00000043716
3029	2990	4590	5881	1682	1443	989	1714	ENSMUSG00000025921
1566	1895	1208	1698	495	723	568	326	ENSMUSG00000025920
4442	2062	2358	8274	2142	1314	1623	836	ENSMUSG00000025939
5056	2547	3702	13322	3915	1298	1811	1209	ENSMUSG00000079658
2	0	2	6	2	0	0	0	ENSMUSG00000097744
3470	4089	4893	6219	1901	2177	1353	1680	ENSMUSG00000025940
322	167	108	814	190	79	117	70	ENSMUSG00000025779
0	0	0	0	0	0	0	0	ENSMUSG00000104133
123	138	43	283	98	75	41	8	ENSMUSG00000042686
16	0	0	20	10	0	2	0	ENSMUSG00000025777
10	2	2	26	4	2	6	0	ENSMUSG00000101589
687	36	69	1956	576	18	240	24	ENSMUSG00000067780
157	115	170	392	79	51	62	42	ENSMUSG00000025776
0	0	0	0	0	0	0	0	ENSMUSG00000109887
0	0	1	0	2	0	0	0	ENSMUSG00000042596
26	3587	2504	0	0	1579	2	830	ENSMUSG00000025927
84	16048	7247	78	16	4111	24	2289	ENSMUSG00000043760
0	0	0	0	0	0	0	0	ENSMUSG00000089914
2	0	0	0	4	0	0	0	ENSMUSG00000025929
0	81	72	3	1	35	0	20	ENSMUSG00000041872
2882	367	360	4213	1512	82	1111	118	ENSMUSG00000041859
5	0	0	32	4	0	1	0	ENSMUSG00000097934
3041	100	150	6665	2340	64	1084	36	ENSMUSG00000025931
1700	22	18	5924	1384	6	553	11	ENSMUSG00000041809
2128	628	207	1998	722	152	787	51	ENSMUSG00000041779
528	284	334	1192	331	152	162	125	ENSMUSG00000025933
14679	9906	11863	59065	13218	3023	5283	3679	ENSMUSG00000025934
5	0	0	6	4	0	2	0	ENSMUSG00000067750
4	0	0	8	4	0	0	0	ENSMUSG00000041722
